iter	Quantile:alpha=0.95
0	0.05207308722
1	0.05186646928
2	0.05142166774
3	0.05119726087
4	0.05095264055
5	0.05041279997
6	0.04997728401
7	0.04965230373
8	0.04929177896
9	0.04893837235
10	0.04853118277
11	0.04827788413
12	0.04799535962
13	0.04780916968
14	0.04746173045
15	0.04708819283
16	0.04680619176
17	0.0465030589
18	0.04617153358
19	0.04583565994
20	0.04539688643
21	0.04513858693
22	0.04494811197
23	0.04457092392
24	0.04439846843
25	0.04417186722
26	0.04400652509
27	0.04375641942
28	0.04338209584
29	0.04320646733
30	0.04307978171
31	0.04285052144
32	0.04265865075
33	0.04245279607
34	0.04228464395
35	0.04198304305
36	0.04170027442
37	0.04149975444
38	0.04136716594
39	0.04110893356
40	0.04101101164
41	0.04077505924
42	0.0405426327
43	0.04032635631
44	0.0401092825
45	0.03989240379
46	0.03972972646
47	0.03951683002
48	0.03927883671
49	0.03907262607
50	0.03882548027
51	0.0386333188
52	0.03850642369
53	0.03836114947
54	0.03831048523
55	0.03818151823
56	0.03812012619
57	0.03793725109
58	0.03779141378
59	0.03762498729
60	0.0375056475
61	0.03729974415
62	0.03718947763
63	0.03709486255
64	0.03697456325
65	0.03687068336
66	0.03683282106
67	0.03676630323
68	0.03667024249
69	0.03664065883
70	0.03660833033
71	0.03658308564
72	0.03650900328
73	0.03645323922
74	0.03641463952
75	0.03635836031
76	0.03624227286
77	0.03614727205
78	0.03609249326
79	0.0360046598
80	0.03590084897
81	0.03578412575
82	0.0356499901
83	0.03558521632
84	0.0355369697
85	0.03542409434
86	0.03537820705
87	0.0352667852
88	0.03519054933
89	0.03510267455
90	0.03503014315
91	0.03494377709
92	0.03488752739
93	0.03481597934
94	0.03475389675
95	0.03466296609
96	0.03457960654
97	0.03453565968
98	0.03447514013
99	0.03445107272
100	0.03434680652
101	0.03426994387
102	0.03421887989
103	0.03417781212
104	0.03413466643
105	0.03412758283
106	0.03409005964
107	0.03403036411
108	0.0340006537
109	0.03397260223
110	0.03391963505
111	0.03385822795
112	0.033802174
113	0.03375660342
114	0.0336997966
115	0.03368534876
116	0.03364900669
117	0.03360106321
118	0.03355270116
119	0.03351360339
120	0.03348775421
121	0.03345583018
122	0.03341990311
123	0.03338330978
124	0.03335968551
125	0.0333213144
126	0.03327144535
127	0.03324208948
128	0.03322516871
129	0.03319116854
130	0.03316034512
131	0.03313338276
132	0.03309918114
133	0.03307289906
134	0.03306170376
135	0.03304271211
136	0.03302834144
137	0.03298998828
138	0.03296104803
139	0.03295151901
140	0.03293828822
141	0.03293167753
142	0.03291001021
143	0.03284935012
144	0.0328449211
145	0.03283814537
146	0.03279914585
147	0.03276390276
148	0.03273722258
149	0.03272952121
150	0.03268755018
151	0.03266654131
152	0.03264075814
153	0.03260946249
154	0.03259603303
155	0.03257613182
156	0.03255191191
157	0.03253523935
158	0.03251208222
159	0.03250228595
160	0.03249206264
161	0.03247153856
162	0.03246558836
163	0.03245741585
164	0.03243797068
165	0.03241878951
166	0.03240220908
167	0.03239508921
168	0.03236890056
169	0.03234186273
170	0.03231351261
171	0.03230074473
172	0.0322912975
173	0.03228414879
174	0.03227352298
175	0.03225428318
176	0.03224575158
177	0.0322223389
178	0.03221386449
179	0.03220864272
180	0.03219339244
181	0.03216683017
182	0.03215662992
183	0.0321451581
184	0.03213993072
185	0.03211500032
186	0.03208738636
187	0.03207697363
188	0.03206839991
189	0.03205013753
190	0.0320326625
191	0.03202603081
192	0.03202136467
193	0.03201601405
194	0.03200335002
195	0.03199275921
196	0.03197404474
197	0.03196223168
198	0.03192928773
199	0.03192397486
200	0.0319179316
201	0.03189414728
202	0.03188669694
203	0.03187995088
204	0.031877
205	0.03185173086
206	0.0318482926
207	0.03184222681
208	0.03183337925
209	0.03181737265
210	0.03181347265
211	0.03180169339
212	0.03179275082
213	0.03178355077
214	0.03178035579
215	0.03177164125
216	0.03176306001
217	0.03175193585
218	0.03174557858
219	0.0317311945
220	0.03172554861
221	0.03172311627
222	0.03170819156
223	0.0316982859
224	0.0316859468
225	0.03167659292
226	0.03166863743
227	0.03165640554
228	0.03164938283
229	0.03163279232
230	0.03162992849
231	0.03162211977
232	0.03161964092
233	0.0316159867
234	0.03161319068
235	0.03160685836
236	0.03160498647
237	0.03160340299
238	0.03160031861
239	0.03158010863
240	0.03157452909
241	0.03156442486
242	0.03156208924
243	0.03156037295
244	0.03155772344
245	0.03155498008
246	0.03154974499
247	0.03153787017
248	0.03152282258
249	0.03152159984
250	0.03151299199
251	0.03150555275
252	0.0314879109
253	0.03147310945
254	0.03147285376
255	0.0314724095
256	0.03146589513
257	0.03146227114
258	0.03145852565
259	0.03144412263
260	0.03144287808
261	0.03142558747
262	0.0314210136
263	0.03141427128
264	0.03140952605
265	0.03140711764
266	0.0314051557
267	0.03140299217
268	0.03140168789
269	0.03139816013
270	0.03139030556
271	0.03138585831
272	0.0313780403
273	0.03136799589
274	0.03136425051
275	0.03136296778
276	0.03136021205
277	0.03134931085
278	0.03134605609
279	0.03133523793
280	0.03133248617
281	0.03133132746
282	0.03132740428
283	0.0313156982
284	0.03131515213
285	0.03131420292
286	0.03131352889
287	0.0313125949
288	0.0313113946
289	0.03130749025
290	0.03129476132
291	0.03129388778
292	0.03127988433
293	0.03127475945
294	0.03127101134
295	0.03125628063
296	0.03125578801
297	0.03124350284
298	0.03124048209
299	0.03124009643
300	0.0312380831
301	0.0312242688
302	0.03122347963
303	0.03122266556
304	0.03121335316
305	0.03121169783
306	0.03120902425
307	0.031206416
308	0.03120603518
309	0.03119500402
310	0.03119427082
311	0.03118776994
312	0.03118649915
313	0.03118442495
314	0.03117755026
315	0.03117661467
316	0.03116848445
317	0.03116440908
318	0.03116212764
319	0.03115547048
320	0.03115510706
321	0.03115483058
322	0.03115471608
323	0.03115413028
324	0.03115112796
325	0.03114998678
326	0.03114953326
327	0.0311490556
328	0.03114872154
329	0.03114784376
330	0.03114748649
331	0.0311440577
332	0.03114344858
333	0.03114315781
334	0.03113325201
335	0.03112321328
336	0.03112307605
337	0.0311159274
338	0.03111460966
339	0.03110615996
340	0.03108343225
341	0.03106388094
342	0.03104664585
343	0.03103009034
344	0.03101584034
345	0.03100937944
346	0.03100366814
347	0.03099474618
348	0.03097741358
349	0.03094359684
350	0.03093656471
351	0.03091780928
352	0.03089342265
353	0.03088077024
354	0.03085940187
355	0.03079685391
356	0.03077985551
357	0.03076218807
358	0.03074840173
359	0.03073521324
360	0.03072118251
361	0.03070260186
362	0.0306833364
363	0.03064956279
364	0.03061817689
365	0.03060355797
366	0.03058891978
367	0.03057205385
368	0.03055588499
369	0.03054863582
370	0.03052952082
371	0.03050232209
372	0.03048897285
373	0.03045808311
374	0.03043276533
375	0.03041558209
376	0.03039512685
377	0.0303785508
378	0.03036360949
379	0.03034540906
380	0.0303110605
381	0.03027316079
382	0.03026367948
383	0.0302466052
384	0.03023586107
385	0.03021694956
386	0.03020861224
387	0.03018564011
388	0.0301561395
389	0.03012883474
390	0.03011504351
391	0.03009519479
392	0.03007867443
393	0.03006063387
394	0.0300460415
395	0.03003858221
396	0.03002637263
397	0.03000825255
398	0.02999208282
399	0.02997869447
400	0.02997047676
401	0.02995429699
402	0.02993614608
403	0.02990566433
404	0.0298715771
405	0.02983744733
406	0.02979854789
407	0.02978270679
408	0.02977309618
409	0.02975041907
410	0.02972529028
411	0.02969310772
412	0.02967088998
413	0.02964964302
414	0.02962167839
415	0.02959906824
416	0.02957424216
417	0.02956539869
418	0.02954879894
419	0.0295261197
420	0.02950036961
421	0.0294743357
422	0.02945994551
423	0.02943100923
424	0.0294097584
425	0.02938348679
426	0.0293594017
427	0.0293526704
428	0.02932464844
429	0.02929683875
430	0.02926930287
431	0.02925252527
432	0.02923070279
433	0.02920676086
434	0.02918586758
435	0.0291673855
436	0.02914913834
437	0.02912444373
438	0.02910026092
439	0.02907973888
440	0.02906394284
441	0.02903635594
442	0.02900552927
443	0.02898617215
444	0.02897287627
445	0.02895238357
446	0.02893201433
447	0.02890906241
448	0.02887372149
449	0.02884750237
450	0.0288352898
451	0.02881686148
452	0.02880028895
453	0.02877950006
454	0.02876785338
455	0.02875151841
456	0.02873234074
457	0.02871438976
458	0.02870507867
459	0.02869878034
460	0.02868410701
461	0.02865714395
462	0.02864677721
463	0.02863069341
464	0.02861941267
465	0.02860569383
466	0.02859714654
467	0.02858471701
468	0.02856059793
469	0.02854429154
470	0.02853578653
471	0.02852699396
472	0.02850949347
473	0.0284930303
474	0.02848441612
475	0.02845774314
476	0.02844784532
477	0.02841805173
478	0.0283832042
479	0.0283609772
480	0.02833955398
481	0.02832687542
482	0.02831183534
483	0.02829716667
484	0.02827580697
485	0.02825910197
486	0.02824351712
487	0.02823087303
488	0.02822374605
489	0.02821179244
490	0.02819959386
491	0.02818989895
492	0.02817769291
493	0.02817326876
494	0.02813914662
495	0.02812249581
496	0.02810926839
497	0.02809778765
498	0.02808621665
499	0.02807796848
500	0.02806866531
501	0.02805769192
502	0.02804752575
503	0.02803320761
504	0.02801903726
505	0.02800792514
506	0.02799282961
507	0.02798776511
508	0.02798397259
509	0.02797509506
510	0.02796921744
511	0.02795082017
512	0.02793298939
513	0.02792592388
514	0.02789313058
515	0.02788669405
516	0.02788319466
517	0.02785779969
518	0.0278486555
519	0.02783046481
520	0.02782386772
521	0.02781797816
522	0.02781133383
523	0.02780193357
524	0.02779611303
525	0.02778521409
526	0.02778105038
527	0.02776689587
528	0.02775880186
529	0.02774935919
