,lr,ridge,lasso,elasnet,dtree,rf,gbr,xg,lgbm,cb,mlp
mean,0.13456503118986723,0.1345631546164095,0.13456345058255426,0.1501259818970872,0.16655563853321279,0.13846828630431887,0.12596575738005875,0.12421681343972626,0.12180818877917673,0.10939225125060958,0.1396276864955386
std,0.04240838855527727,0.0424166042370574,0.042411891647926435,0.05237033813330068,0.0553210938070483,0.05767005174730942,0.044715141333007025,0.038528663614755584,0.04412895565240537,0.032078777484199815,0.036886407779826616
risk_adjusted,0.13244461176210337,0.13244232440455664,0.13244285600015793,0.14750746499042217,0.16378958384286038,0.1355847837169534,0.12373000031340839,0.12229038025898849,0.11960174099655646,0.10778831237639959,0.1377833661065473
